               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11427,            0.061597,            0.064771,          3.3385e-06,           0.0033333,          1.7582e-06,          1.7582e-07,             0.10112,            0.060653,            0.062525,              0.0856,              0.0016,              0.0016
                   1,             0.10739,            0.066754,            0.063547,                   0,                   0,                   0,                   0,            0.096385,            0.065107,            0.062271,            0.070278,           0.0032782,           0.0032782
                   2,             0.10215,            0.074597,            0.062228,          9.7634e-05,            0.014948,          5.5242e-05,          1.2563e-05,            0.094252,            0.067196,            0.061818,            0.054934,            0.004934,            0.004934
                   3,                 0.1,            0.074442,            0.061552,          9.9593e-05,            0.027927,          6.5437e-05,          1.2763e-05,            0.093689,               0.067,            0.061529,            0.039567,           0.0065673,           0.0065673
                   4,            0.098046,            0.077741,            0.060873,          0.00014316,            0.027936,          0.00012315,          2.4441e-05,            0.092942,            0.066608,            0.061259,            0.024178,           0.0081782,           0.0081782
                   5,            0.098585,            0.074134,            0.059685,          0.00016161,            0.031185,          0.00017619,          3.6526e-05,            0.092658,            0.066986,            0.060822,             0.00967,             0.00967,             0.00967
                   6,            0.097122,            0.071204,            0.057616,          0.00036691,            0.028661,          0.00024017,          4.4249e-05,            0.092761,            0.066867,             0.06042,             0.00967,             0.00967,             0.00967
                   7,            0.096849,            0.069865,            0.055166,           0.0011251,            0.019686,          0.00076085,          0.00018345,             0.11856,             0.47254,             0.14003,            0.009604,            0.009604,            0.009604
                   8,            0.094636,            0.076355,             0.05395,             0.10608,            0.054011,           0.0030048,          0.00061569,             0.10279,             0.11701,            0.066722,            0.009538,            0.009538,            0.009538
                   9,             0.09341,            0.070065,            0.053258,             0.30589,            0.048797,           0.0033484,          0.00073621,            0.097438,             0.10912,            0.056707,            0.009472,            0.009472,            0.009472
                  10,            0.092739,            0.073135,             0.05068,             0.10684,            0.022527,           0.0029716,          0.00075294,             0.10191,             0.21926,            0.070582,            0.009406,            0.009406,            0.009406
                  11,            0.092004,            0.077361,            0.049938,             0.21757,            0.026471,            0.012883,           0.0039764,            0.099225,             0.10503,            0.064107,             0.00934,             0.00934,             0.00934
                  12,            0.090306,             0.07054,            0.048732,          5.2604e-05,           0.0011364,          1.1359e-05,          2.7422e-06,             0.13426,            0.036414,             0.25719,            0.009274,            0.009274,            0.009274
                  13,            0.090038,            0.073391,            0.047498,             0.30154,           0.0039773,          0.00031831,          5.4577e-05,             0.13531,            0.069598,              0.2795,            0.009208,            0.009208,            0.009208
                  14,            0.088408,            0.072129,            0.046564,             0.61343,            0.090655,             0.01717,           0.0049046,             0.10477,            0.060068,            0.072255,            0.009142,            0.009142,            0.009142
