               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11467,            0.061148,             0.06469,          3.3385e-06,           0.0033333,          1.7818e-06,          3.5636e-07,             0.10207,            0.059909,            0.062581,              0.0856,              0.0016,              0.0016
                   1,             0.10696,            0.067096,            0.063337,          6.1169e-05,           0.0082927,          3.5332e-05,          8.1591e-06,            0.096347,             0.06506,            0.062281,            0.070278,           0.0032782,           0.0032782
                   2,             0.10147,            0.075597,            0.062262,          0.00011153,            0.016733,          7.8177e-05,          1.9317e-05,            0.093787,            0.067448,            0.061666,            0.054934,            0.004934,            0.004934
                   3,            0.099261,            0.075085,            0.061247,          0.00010011,            0.015436,          0.00014884,           2.836e-05,            0.093812,            0.066061,            0.060791,            0.039567,           0.0065673,           0.0065673
                   4,            0.097706,             0.07682,            0.059669,          3.9883e-05,           0.0017045,          2.0422e-05,          2.0422e-06,              0.1172,            0.049897,            0.079941,            0.024178,           0.0081782,           0.0081782
                   5,            0.097414,             0.07239,            0.056979,             0.50138,           0.0029412,          0.00026709,          5.1721e-05,             0.11391,             0.19322,            0.081645,             0.00967,             0.00967,             0.00967
                   6,            0.094928,            0.071483,            0.055077,             0.50053,           0.0011364,          9.9711e-05,           2.047e-05,             0.12524,            0.044659,             0.19364,             0.00967,             0.00967,             0.00967
                   7,            0.094602,            0.070383,            0.053599,           0.0065938,             0.15374,           0.0055052,           0.0019417,            0.094378,            0.062767,            0.055155,            0.009604,            0.009604,            0.009604
                   8,            0.093303,            0.076493,            0.053324,             0.41703,            0.015194,           0.0082267,           0.0024134,              0.0972,            0.071445,            0.056341,            0.009538,            0.009538,            0.009538
                   9,            0.091185,            0.070657,            0.051878,             0.71661,            0.026471,            0.010685,           0.0028636,            0.099078,            0.067249,            0.067914,            0.009472,            0.009472,            0.009472
                  10,            0.090031,             0.07334,            0.050136,             0.71777,            0.036765,            0.023474,           0.0077076,            0.089494,            0.079154,            0.050618,            0.009406,            0.009406,            0.009406
                  11,            0.088439,            0.077416,            0.050248,              0.8243,            0.080481,            0.038627,            0.012092,            0.081207,            0.077798,            0.048421,             0.00934,             0.00934,             0.00934
                  12,            0.085724,            0.069196,            0.048999,             0.61189,            0.090716,            0.012036,           0.0038888,            0.095165,            0.074694,            0.049894,            0.009274,            0.009274,            0.009274
                  13,            0.084629,            0.071996,            0.049134,             0.77634,             0.10135,            0.082146,            0.026815,             0.07398,            0.066227,            0.043538,            0.009208,            0.009208,            0.009208
                  14,            0.082861,            0.070019,            0.046901,             0.60697,             0.11755,             0.10079,            0.031966,            0.077472,             0.06542,            0.040433,            0.009142,            0.009142,            0.009142
                  15,            0.080622,            0.063616,            0.043639,             0.59118,             0.17765,               0.104,            0.037222,            0.076166,            0.059751,            0.042775,            0.009076,            0.009076,            0.009076
                  16,            0.079854,            0.066059,            0.041613,             0.70532,             0.15335,             0.11765,            0.041493,             0.07783,             0.05755,            0.040873,             0.00901,             0.00901,             0.00901
                  17,            0.079777,            0.066424,             0.04093,             0.54671,             0.16296,             0.12885,             0.04107,            0.079806,            0.056519,            0.037504,            0.008944,            0.008944,            0.008944
                  18,            0.077858,            0.066857,            0.038683,             0.68342,             0.19865,             0.15829,            0.052141,            0.074239,            0.061628,            0.045698,            0.008878,            0.008878,            0.008878
                  19,            0.076357,             0.06393,            0.036153,             0.58764,              0.2527,             0.19573,            0.069511,            0.075992,            0.063792,            0.036379,            0.008812,            0.008812,            0.008812
                  20,            0.075523,            0.062371,            0.035113,             0.55795,             0.28108,             0.17438,            0.060488,            0.074986,            0.050129,            0.031349,            0.008746,            0.008746,            0.008746
                  21,             0.07359,             0.05981,            0.032379,             0.72327,             0.30834,             0.27919,             0.10496,            0.067977,            0.054004,            0.030389,             0.00868,             0.00868,             0.00868
                  22,            0.073825,            0.059386,            0.031027,             0.76677,             0.25242,              0.2914,             0.11259,            0.068718,            0.055586,            0.030382,            0.008614,            0.008614,            0.008614
                  23,             0.07278,            0.061771,            0.028341,             0.71444,             0.30427,             0.33444,             0.12989,            0.066855,            0.051413,            0.027949,            0.008548,            0.008548,            0.008548
                  24,            0.070821,            0.058865,            0.028052,             0.66036,             0.31726,             0.31419,             0.12065,            0.065966,            0.048605,            0.026688,            0.008482,            0.008482,            0.008482
                  25,            0.072231,            0.060539,            0.027641,             0.57498,             0.36017,             0.35486,             0.11732,            0.065199,            0.054186,             0.02777,            0.008416,            0.008416,            0.008416
                  26,            0.069289,             0.05628,            0.024785,             0.68954,              0.3015,             0.32441,             0.12271,            0.070306,            0.049334,            0.027524,             0.00835,             0.00835,             0.00835
                  27,            0.069133,            0.055464,            0.024323,             0.71394,             0.37471,             0.43958,             0.17886,            0.067488,            0.045832,            0.027077,            0.008284,            0.008284,            0.008284
                  28,            0.068246,            0.055569,            0.022832,             0.71201,             0.38422,             0.45066,             0.18493,            0.063995,            0.048122,             0.01889,            0.008218,            0.008218,            0.008218
                  29,            0.066993,            0.056146,            0.020884,             0.74287,             0.38633,             0.44614,             0.17752,            0.071528,            0.048083,            0.024409,            0.008152,            0.008152,            0.008152
                  30,            0.065784,            0.053389,            0.020596,             0.66115,             0.45324,             0.50287,             0.19837,            0.066498,            0.043547,            0.018398,            0.008086,            0.008086,            0.008086
                  31,            0.066961,            0.055575,            0.020548,             0.59667,             0.49361,             0.50391,             0.19392,            0.067289,            0.043268,            0.015776,             0.00802,             0.00802,             0.00802
                  32,            0.066777,            0.053941,            0.019503,             0.44222,             0.48733,             0.48278,             0.17808,            0.068689,            0.050378,             0.01684,            0.007954,            0.007954,            0.007954
                  33,            0.064811,            0.050802,             0.01842,             0.51855,             0.53209,             0.51127,             0.19925,            0.061584,            0.048984,            0.017961,            0.007888,            0.007888,            0.007888
                  34,            0.064154,            0.053882,            0.017871,             0.62895,             0.58661,             0.60641,             0.24613,            0.058386,            0.044668,            0.014004,            0.007822,            0.007822,            0.007822
                  35,            0.064733,             0.05452,              0.0175,             0.65794,             0.50881,             0.53754,             0.22447,            0.066539,            0.044578,            0.020553,            0.007756,            0.007756,            0.007756
                  36,            0.064256,            0.054745,            0.016256,             0.69276,             0.57707,              0.6414,             0.27182,            0.055792,            0.042979,             0.01174,             0.00769,             0.00769,             0.00769
                  37,            0.064387,            0.051482,            0.016078,             0.60595,             0.62207,             0.63335,             0.27228,            0.059244,            0.044167,             0.01487,            0.007624,            0.007624,            0.007624
                  38,             0.06198,            0.053459,            0.015578,             0.65519,             0.58399,             0.61298,             0.24183,            0.057786,            0.044017,            0.012753,            0.007558,            0.007558,            0.007558
                  39,            0.063294,            0.050541,            0.014401,               0.708,             0.58646,             0.62499,             0.25742,            0.059299,            0.041932,           0.0098656,            0.007492,            0.007492,            0.007492
                  40,            0.062007,            0.053131,            0.013032,             0.76379,              0.5988,             0.66801,             0.28238,             0.05676,            0.041859,            0.010341,            0.007426,            0.007426,            0.007426
