               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11267,            0.063328,            0.065654,          7.3225e-05,            0.012104,          4.4641e-05,          8.2215e-06,             0.10056,            0.061299,            0.062556,              0.0856,              0.0016,              0.0016
                   1,             0.10467,            0.069875,            0.063234,          0.00010431,            0.015923,          5.9537e-05,          1.5097e-05,            0.095337,            0.066195,             0.06222,            0.070278,           0.0032782,           0.0032782
                   2,             0.10087,            0.075104,            0.061981,          0.00010765,            0.016411,          6.1963e-05,          1.2495e-05,            0.093746,            0.067513,            0.061818,            0.054934,            0.004934,            0.004934
                   3,            0.099659,            0.072933,            0.060472,          0.00013414,            0.020793,          8.0113e-05,          1.9331e-05,            0.093093,            0.067609,             0.06163,            0.039567,           0.0065673,           0.0065673
                   4,            0.097371,            0.074789,            0.058498,          7.9902e-05,            0.026463,          5.4075e-05,          1.0429e-05,            0.092469,            0.067624,            0.061549,            0.024178,           0.0081782,           0.0081782
                   5,            0.096725,            0.071559,            0.056244,          4.3661e-05,            0.023214,          3.9043e-05,          7.9787e-06,            0.092232,            0.068625,            0.061788,             0.00967,             0.00967,             0.00967
                   6,            0.093669,            0.071076,            0.054226,            0.011668,            0.029968,           0.0070306,           0.0019653,            0.092191,            0.068034,             0.06102,             0.00967,             0.00967,             0.00967
                   7,            0.093144,            0.070144,            0.052392,             0.64453,            0.053364,             0.04283,            0.015602,            0.090855,            0.071287,            0.048897,            0.009604,            0.009604,            0.009604
                   8,            0.091324,            0.076945,            0.051995,             0.75006,            0.079692,            0.044606,            0.014542,            0.088656,            0.064385,            0.045977,            0.009538,            0.009538,            0.009538
                   9,            0.090607,            0.069202,            0.050677,             0.64977,            0.067496,            0.039482,            0.012926,            0.084184,            0.069873,            0.045217,            0.009472,            0.009472,            0.009472
                  10,            0.089007,             0.07327,            0.048615,             0.23434,            0.031794,            0.023705,           0.0067364,             0.10168,             0.24247,            0.061574,            0.009406,            0.009406,            0.009406
                  11,             0.08772,            0.076773,             0.04725,             0.32443,            0.016176,            0.012065,           0.0041997,            0.093665,             0.26102,            0.050123,             0.00934,             0.00934,             0.00934
                  12,              0.0861,            0.067892,            0.044808,             0.22923,            0.025802,            0.014292,           0.0046988,            0.091764,             0.26481,            0.047722,            0.009274,            0.009274,            0.009274
                  13,            0.085054,            0.070018,            0.042652,             0.44404,            0.081209,            0.037364,            0.010243,             0.08953,             0.07397,            0.046178,            0.009208,            0.009208,            0.009208
                  14,             0.08389,            0.067974,            0.039359,              0.5881,             0.15944,             0.10269,            0.033353,            0.077889,            0.067474,            0.033946,            0.009142,            0.009142,            0.009142
                  15,             0.08195,             0.06211,              0.0354,             0.30138,             0.19862,            0.096016,            0.032264,            0.075745,            0.059383,            0.035474,            0.009076,            0.009076,            0.009076
                  16,            0.081968,            0.062778,            0.032633,             0.36582,             0.32094,             0.13429,            0.045853,            0.078222,            0.063669,            0.028013,             0.00901,             0.00901,             0.00901
                  17,            0.080408,            0.064326,            0.032149,             0.30256,             0.34865,             0.11684,            0.040162,             0.07808,            0.065605,            0.039533,            0.008944,            0.008944,            0.008944
                  18,            0.079072,            0.064941,            0.030433,             0.39321,             0.32039,             0.19595,            0.073636,            0.074543,            0.057401,            0.028099,            0.008878,            0.008878,            0.008878
                  19,            0.076272,            0.062483,            0.028364,             0.39846,             0.36577,             0.20713,             0.08079,            0.073367,            0.062487,            0.036268,            0.008812,            0.008812,            0.008812
                  20,            0.075927,            0.060409,              0.0252,              0.4105,             0.22988,             0.13456,            0.057212,             0.07941,            0.064551,            0.040593,            0.008746,            0.008746,            0.008746
